"idPop"','"Sexe"','"annee"','"taux"','"idP"
('20TOT1985','TOT','1985','30','20')
('20TOT1986','TOT','1986','30','20')
('20TOT1987','TOT','1987','30','20')
('20TOT1988','TOT','1988','29','20')
('20TOT1989','TOT','1989','27','20')
('20TOT1990','TOT','1990','28','20')
('20TOT1991','TOT','1991','26','20')
('20TOT1992','TOT','1992','27','20')
('20TOT1993','TOT','1993','27','20')
('20TOT1994','TOT','1994','27','20')
('20TOT1995','TOT','1995','27','20')
('20TOT1996','TOT','1996','26','20')
('20TOT1997','TOT','1997','26','20')
('20TOT1998','TOT','1998','25','20')
('20TOT1999','TOT','1999','26','20')
('20TOT2000','TOT','2000','25','20')
('20TOT2001','TOT','2001','25','20')
('20TOT2002','TOT','2002','25','20')
('20TOT2003','TOT','2003','23','20')
('20TOT2004','TOT','2004','22','20')
('20TOT2005','TOT','2005','22,5','20')
('20TOT2006','TOT','2006','20,7','20')
('20TOT2007','TOT','2007','18,1','20')
('20TOT2012','TOT','2012','16,3','20')
('20TOT2013','TOT','2013','15,6','20')
('20TOT2014','TOT','2014','15,7','20')
('20TOT2015','TOT','2015','15','20')
('20TOT2016','TOT','2016','14,2','20')
('20TOT2017','TOT','2017','13,8','20')
('20TOT2018','TOT','2018','13,1','20')
('20TOT2019','TOT','2019','12,5','20')
('20TOT2020','TOT','2020','11,6','20')
('21TOT1973','TOT','1973','41','21')
('21TOT1974','TOT','1974','42','21')
('21TOT1975','TOT','1975','40','21')
('21TOT1976','TOT','1976','40','21')
('21TOT1977','TOT','1977','37','21')
('21TOT1978','TOT','1978','38','21')
('21TOT1979','TOT','1979','38','21')
('21TOT1980','TOT','1980','36','21')
('21TOT1981','TOT','1981','35','21')
('21TOT1982','TOT','1982','37','21')
('21TOT1983','TOT','1983','37','21')
('21TOT1984','TOT','1984','38','21')
('21TOT1985','TOT','1985','37','21')
('21TOT1986','TOT','1986','35','21')
('21TOT1987','TOT','1987','36','21')
('21TOT1988','TOT','1988','38','21')
('21TOT1989','TOT','1989','36','21')
('21TOT1990','TOT','1990','35','21')
('21TOT1991','TOT','1991','34','21')
('21TOT1992','TOT','1992','35','21')
('21TOT1993','TOT','1993','37','21')
('21TOT1994','TOT','1994','33','21')
('21TOT1995','TOT','1995','33','21')
('21TOT1996','TOT','1996','33','21')
('21TOT1997','TOT','1997','34','21')
('21TOT1998','TOT','1998','33','21')
('21TOT1999','TOT','1999','32','21')
('21TOT2000','TOT','2000','32','21')
('21TOT2001','TOT','2001','30','21')
('21TOT2002','TOT','2002','29','21')
('21TOT2003','TOT','2003','26','21')
('21TOT2004','TOT','2004','26','21')
('21TOT2005','TOT','2005','25','21')
('21TOT2006','TOT','2006','24','21')
('21TOT2007','TOT','2007','22','21')
('21TOT2008','TOT','2008','21','21')
('21TOT2009','TOT','2009','21','21')
('21TOT2010','TOT','2010','19','21')
('21TOT2011','TOT','2011','17','21')
('21TOT2012','TOT','2012','16','21')
('21TOT2013','TOT','2013','15','21')
('21TOT2014','TOT','2014','13','21')
('21TOT2015','TOT','2015','13','21')
('21TOT2016','TOT','2016','12','21')
('21TOT2017','TOT','2017','11','21')
('21TOT2018','TOT','2018','12','21')
('21TOT2019','TOT','2019','9','21')
('21TOT2020','TOT','2020','9','21')
('22TOT1996','TOT','1996','31,5','22')
('22TOT2001','TOT','2001','27,6','22')
('22TOT2004','TOT','2004','26,3','22')
('22TOT2009','TOT','2009','23,8','22')
('22TOT2014','TOT','2014','22,7','22')
('22TOT2019','TOT','2019','17,1','22')
('23TOT1987','TOT','1987','19','23')
('23TOT1996','TOT','1996','19,5','23')
('23TOT1999','TOT','1999','20,6','23')
('23TOT2006','TOT','2006','18,6','23')
('23TOT2014','TOT','2014','16,8','23')
('23TOT2019','TOT','2019','14,2','23')
('24TOT2003','TOT','2003','22,1','24')
('24TOT2009','TOT','2009','19,5','24')
('24TOT2014','TOT','2014','22,9','24')
('24TOT2019','TOT','2019','21','24')
('25TOT1985','TOT','1985','41','25')
